Categoría,Nombre producto en Español,Nombre producto en Inglés,Descripción,Palabras claves,Link
Desembolsos y Administración de Cartera,Desembolso de crédito,Loan Disbursement,"Permite el desembolso de créditos de Consumo, microcrédito y cartera Comercial.","préstamos, cartera, desembolsos, desembolsar crédito, originar crédito, desembolso",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-desembolsos-y-administracion-cartera.aspx
Desembolsos y Administración de Cartera,Información de créditos,Loan Information,"Muestra los créditos de un cliente, entregando información como: número de la obligación, tipo de crédito, el estado, saldo total, fecha de próximo pago, entre otros.","préstamos, cartera, desembolsos, Consulta detallada de un préstamo, consultar préstamo, préstamo, datos de un préstamos, consulta planes de crédito, crédito",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-desembolsos-y-administracion-cartera.aspx
Desembolsos y Administración de Cartera,Transacciones de un crédito,Loan Transactions,"Consulta las transacciones o movimientos que ha tenido un crédito. Con esta operación, podemos consultar los pagos que realiza el cliente a un crédito.","préstamos, cartera, desembolsos, consulta general de transacciones aplicadas a un préstamo, transacciones préstamos, consultar transacciones préstamo, préstamo, transacción específica préstamo, transacción, transacciones, crédito",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-desembolsos-y-administracion-cartera.aspx
Desembolsos y Administración de Cartera,Cálculo de cuota,Loan Utilities,Conoce el cálculo de cuota para créditos no desembolsados y de recálculo para créditos desembolsados.,"préstamos, cartera, desembolsos, Cálculo cuota periódica de un crédito, calcular cuota préstamo, préstamo, calcular cuota, calculo cuota",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-desembolsos-y-administracion-cartera.aspx
Gestión de identidades,OTP Genérico,Security Code,"Realiza la gestión de un código de seguridad genérico de un solo uso tipo OTP para que sea utilizado por un canal consumidor cuando la experiencia así lo requiera, el cual será entregado y podrá ser validado.","código seguridad, OTP, código, seguridad, autorizar, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Gestión de identidades,SUID - Identidad,Customer Security,Brindan la posibilidad de gestionar las identidades y alias de un cliente dentro de un canal banco.,"identidad única en los canales, recolectar información propia, consultar un alias, registrar, un alias, modificar un alias, eliminar un alias, SUID, identidad, seguridad, autorizar, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Gestión de identidades,SUA - Administrar sesión,Security Session Management,Brindan la posibilidad de gestionar la identidad digital que tiene un cliente.,"identidad digital registrada, identidad digital activa, autorización, autorizar, sesión, sua, seguridad",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Gestión de identidades,,Security,Centraliza los servicios de autenticación del cliente abarcando los escenarios en los diferentes canales banco.,"token, sesion, código de autorización, oauth, llave criptográfica, cifrado de la clave, clave pinblok, token autorización, was, datapower, autenticacion cliente, llave criptográfica, cifrado de la clave, clave pinblok, seguridad",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Gestión de identidades,Sesión,Security Session,Realiza la gestión de la sesión de un cliente consumidor en un canal que requiera validar o mantener la sesión mientras realiza su experiencia digital.,"oauth, token autorización, was, datapower, autenticacion cliente, seguir, autorización, autenticación, seguridad",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Gestión de identidades,SUA - Token Autorización APIConnect,Security Simple Authentication,"Habilita una API tipo OAuth que permite la autenticación simple de un cliente, mediante el tipo, número de documento y pinblock.","oauth, token autorización, was, datapower, autenticacion cliente, autorización, SUA, autorizar, seguridad",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-GestionDeIdentidades.aspx
Hipotecario,Pago crédito constructor,Mortgage Loan Payment,"Agrupa las funcionalidades necesarias para el pago de créditos hipotecarios, para personas naturales y jurídicas.","pago credito, hipotecario constructor, pagos de proyectos, inmobiliario, hipotecario",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Hipotecario.aspx
Hipotecario,Créditos Hipotecarios,Mortgage Loan,"Para clientes persona natural con créditos largo plazo, muestra información general como el saldo de la deuda, valor de la cuota a pagar, fecha de cuota, plazo, tasa de interés, información de seguros (vida-incendio y terremoto)… entre otros","obligación constructor, obligaciones hipotecarias, detalle credito hipotecario, hipotecario, inmobiliario",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Hipotecario.aspx
Monitoreo y transversales,Modelos de fraude,Fraud Models,Consultar y marcar información de contacto de los clientes para confirmar las transacciones sospechosas de fraude,"motor DTA, estado de la transaccion en el canal",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MonitoreoTransversales.aspx
Monitoreo y transversales,,Security Application,Consulta los eventos funcionales ocurridos en las aplicaciones de seguridad,"seguridad, monitoreo",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MonitoreoTransversales.aspx
Experiencia de cartera,Crédito,Consumer Loans,"Venta de crédito de principio a fin en la modalidad de consumo y microcrédito ofrecido a personas naturales(Libre inversión, libranza, crediágil y microcrédito) .","oferta, criterios de elegibilidad, desembolso, venta, tasas, montos, firma de documentos, confirmación condiciones del crédito, documentos del crédito, carta de bienvenida, seguros de producto, simulación personalizada, cálculo de cuota, tasas, plazos, cuota, plan",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-ExperienciaDeCartera.aspx?OR=Teams-HL&CT=1639595343409
Pagos,Consulta convenios de nómina,Payroll Agreement,"Consulta convenio de nómina, permite al usuario obtener información de convenios de nomina por diferentes criterios de búsqueda.","convenios nomina, consulta por beneficiario, por empleador y por pagador, convenios, pagos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-pagos.aspx
Pagos,Solicitudes de pagos,Payment Request,Realiza la creación de un registro de pago en el sistema de pago para su procesamiento,"pagos, solicitud pago, solicitudes de pago",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-pagos.aspx
Pagos,Transferencias otros bancos,ACH Fullfilment,Inscribe beneficiarios para transferencias a otros bancos a través del Sistema de Transferencias Financieras,"transferencias, pagos, entre bancos, transferencias entre bancos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-pagos.aspx
Pagos,Gestión del cliente pagador,Payroll And Supplier Payment,"Consulta información de un pagador inscrito en el sistema de Pagos Automáticos Bancolombia PAB, inscribe un nuevo pagador.","pagos, pagador, gestión cliente",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-pagos.aspx
Evolución digital,Firma electrónica,Electronic Signature,Ofrece capacidades de firma electrónica de documentos mediante mecanismos de autenticación.,"firmar documento, certicamara, custodia documental, firmante, firma electrónica, firma simple",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-generaciondocumentosdigitales.aspx
Evolución digital,Pagaré Electrónico,Electronic Promissory,Envía los datos del cliente a dcval para la creación de un girador persona Natural y Jurídica,"firmar documento, deceval, crear pagare, crear firmante, custodia documental, firmante, firmar pagare",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-generaciondocumentosdigitales.aspx
Evolución digital,Generados de Documentos,Customer Document Service,Genera un documento digital partiendo de la Información entrega para la construcción del formato.,"crear documento, custodia documental, generar pdf, cadena",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-generaciondocumentosdigitales.aspx
Recaudos,Gestión de facturas,Bill Payments,Inscribe una factura de recaudos para habilitar un pago por los canales disponibles y habilitados para ello. Modifica una factura inscrita,"gestion de facturas, registrar facturas, canales virtuales, recaudadores, crear programación de facturas, actualizar programación de facturas, eliminar programación de facturas, recaudadores, movimientos de los pagadores de recaudos, inscribir facturas, actualizar, facturas inscritas, consultar facturas inscritas, pagadores, recaudos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-recaudos.aspx
Recaudos,Convenios de recaudos,Collection Agreements,"Conoce todos los convenios de recaudos, sus estados y canales Bancolombia por lo que se puede realizar transacciones.","maestro de convenios, convenios de recaudos, recaudadores, cuenta exclusiva de recaudos, recaudos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-recaudos.aspx
